Anteil Ausländer/-innen 2025
"Regionalschlüssel";"Gemeinde";"in %"
"08426073";"Mietingen";"6,7"
"08426074";"Mittelbiberach";"10,3"
"08125063";"Möckmühl, Stadt";"21,7"
"08136043";"Mögglingen";"9,3"
"08118051";"Möglingen";"22,9"
"08326037";"Mönchweiler";"9,7"
"08236039";"Mönsheim";"14,5"
"08335055";"Moos";"11,1"
"08426078";"Moosburg";"4,5"
"08225058";"Mosbach, Stadt";"18,9"
"08416025";"Mössingen, Stadt";"14,7"
"08115034";"Mötzingen";"17,2"
"08225060";"Mudau";"7,4"
"08216033";"Muggensturm";"12,4"
"08236040";"Mühlacker, Stadt";"24,1"
"08317078";"Mühlenbach";"5,9"
"08226054";"Mühlhausen";"11,9"
"08117035";"Mühlhausen im Täle";"14,1"
"08335097";"Mühlhausen-Ehingen";"11,9"
"08327036";"Mühlheim an der Donau, Stadt";"10,1"
"08335057";"Mühlingen";"13,3"
