year,region_code,region_label,series,migration_status,detail,value_thousand
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,geschieden,/
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,ledig,7
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verheiratet,/
2021,08128KRSI,"Main-Tauber-Kreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verwitwet,/
2021,08135KRSI,"Heidenheim, Landkreis",by_marital_status,Insgesamt,Insgesamt,133
2021,08135KRSI,"Heidenheim, Landkreis",by_marital_status,Insgesamt,geschieden,8
2021,08135KRSI,"Heidenheim, Landkreis",by_marital_status,Insgesamt,ledig,54
2021,08135KRSI,"Heidenheim, Landkreis",by_marital_status,Insgesamt,verheiratet,63
2021,08135KRSI,"Heidenheim, Landkreis",by_marital_status,Insgesamt,verwitwet,8
2021,08135KRSI,"Heidenheim, Landkreis",by_marital_status,mit Migrationshintergrund,Insgesamt,56
2021,08135KRSI,"Heidenheim, Landkreis",by_marital_status,mit Migrationshintergrund,geschieden,/
2021,08135KRSI,"Heidenheim, Landkreis",by_marital_status,mit Migrationshintergrund,ledig,26
2021,08135KRSI,"Heidenheim, Landkreis",by_marital_status,mit Migrationshintergrund,verheiratet,26
2021,08135KRSI,"Heidenheim, Landkreis",by_marital_status,mit Migrationshintergrund,verwitwet,/
2021,08135KRSI,"Heidenheim, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,Insgesamt,16
2021,08135KRSI,"Heidenheim, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,geschieden,/
2021,08135KRSI,"Heidenheim, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,ledig,12
2021,08135KRSI,"Heidenheim, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verheiratet,/
2021,08135KRSI,"Heidenheim, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verwitwet,/
2021,08136KRSI,"Ostalbkreis, Landkreis",by_marital_status,Insgesamt,Insgesamt,311
2021,08136KRSI,"Ostalbkreis, Landkreis",by_marital_status,Insgesamt,geschieden,18
2021,08136KRSI,"Ostalbkreis, Landkreis",by_marital_status,Insgesamt,ledig,125
2021,08136KRSI,"Ostalbkreis, Landkreis",by_marital_status,Insgesamt,verheiratet,146
2021,08136KRSI,"Ostalbkreis, Landkreis",by_marital_status,Insgesamt,verwitwet,21
2021,08136KRSI,"Ostalbkreis, Landkreis",by_marital_status,mit Migrationshintergrund,Insgesamt,77
2021,08136KRSI,"Ostalbkreis, Landkreis",by_marital_status,mit Migrationshintergrund,geschieden,/
2021,08136KRSI,"Ostalbkreis, Landkreis",by_marital_status,mit Migrationshintergrund,ledig,33
2021,08136KRSI,"Ostalbkreis, Landkreis",by_marital_status,mit Migrationshintergrund,verheiratet,36
2021,08136KRSI,"Ostalbkreis, Landkreis",by_marital_status,mit Migrationshintergrund,verwitwet,/
2021,08136KRSI,"Ostalbkreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,Insgesamt,26
2021,08136KRSI,"Ostalbkreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,geschieden,/
2021,08136KRSI,"Ostalbkreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,ledig,20
2021,08136KRSI,"Ostalbkreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verheiratet,/
2021,08136KRSI,"Ostalbkreis, Landkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verwitwet,/
2021,08212KRSI,"Karlsruhe, Stadtkreis",by_marital_status,Insgesamt,Insgesamt,306
2021,08212KRSI,"Karlsruhe, Stadtkreis",by_marital_status,Insgesamt,geschieden,21
2021,08212KRSI,"Karlsruhe, Stadtkreis",by_marital_status,Insgesamt,ledig,145
2021,08212KRSI,"Karlsruhe, Stadtkreis",by_marital_status,Insgesamt,verheiratet,122
2021,08212KRSI,"Karlsruhe, Stadtkreis",by_marital_status,Insgesamt,verwitwet,18
2021,08212KRSI,"Karlsruhe, Stadtkreis",by_marital_status,mit Migrationshintergrund,Insgesamt,115
2021,08212KRSI,"Karlsruhe, Stadtkreis",by_marital_status,mit Migrationshintergrund,geschieden,8
2021,08212KRSI,"Karlsruhe, Stadtkreis",by_marital_status,mit Migrationshintergrund,ledig,55
2021,08212KRSI,"Karlsruhe, Stadtkreis",by_marital_status,mit Migrationshintergrund,verheiratet,48
2021,08212KRSI,"Karlsruhe, Stadtkreis",by_marital_status,mit Migrationshintergrund,verwitwet,/
2021,08212KRSI,"Karlsruhe, Stadtkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,Insgesamt,33
2021,08212KRSI,"Karlsruhe, Stadtkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,geschieden,/
2021,08212KRSI,"Karlsruhe, Stadtkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,ledig,26
2021,08212KRSI,"Karlsruhe, Stadtkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verheiratet,/
2021,08212KRSI,"Karlsruhe, Stadtkreis",second_generation_german,mit Migrationshintergrund | ohne eigene Migrationserfahrung | Deutsche,verwitwet,/
2021,08215KRSI,"Karlsruhe, Landkreis",by_marital_status,Insgesamt,Insgesamt,445
2021,08215KRSI,"Karlsruhe, Landkreis",by_marital_status,Insgesamt,geschieden,29
2021,08215KRSI,"Karlsruhe, Landkreis",by_marital_status,Insgesamt,ledig,178
2021,08215KRSI,"Karlsruhe, Landkreis",by_marital_status,Insgesamt,verheiratet,205
2021,08215KRSI,"Karlsruhe, Landkreis",by_marital_status,Insgesamt,verwitwet,33
2021,08215KRSI,"Karlsruhe, Landkreis",by_marital_status,mit Migrationshintergrund,Insgesamt,148
2021,08215KRSI,"Karlsruhe, Landkreis",by_marital_status,mit Migrationshintergrund,geschieden,8
2021,08215KRSI,"Karlsruhe, Landkreis",by_marital_status,mit Migrationshintergrund,ledig,68
2021,08215KRSI,"Karlsruhe, Landkreis",by_marital_status,mit Migrationshintergrund,verheiratet,65
