year,region_code,region_label,migration_status,age_group,value_thousand
2021,08212KRSI,"Karlsruhe, Stadtkreis",Insgesamt,65 Jahre und mehr,63
2021,08212KRSI,"Karlsruhe, Stadtkreis",Insgesamt,Insgesamt,306
2021,08212KRSI,"Karlsruhe, Stadtkreis",Insgesamt,unter 15 Jahre,36
2021,08212KRSI,"Karlsruhe, Stadtkreis",mit Migrationshintergrund,15 bis unter 25 Jahre,15
2021,08212KRSI,"Karlsruhe, Stadtkreis",mit Migrationshintergrund,25 bis unter 35 Jahre,20
2021,08212KRSI,"Karlsruhe, Stadtkreis",mit Migrationshintergrund,35 bis unter 45 Jahre,19
2021,08212KRSI,"Karlsruhe, Stadtkreis",mit Migrationshintergrund,45 bis unter 55 Jahre,14
2021,08212KRSI,"Karlsruhe, Stadtkreis",mit Migrationshintergrund,55 bis unter 65 Jahre,12
2021,08212KRSI,"Karlsruhe, Stadtkreis",mit Migrationshintergrund,65 Jahre und mehr,15
2021,08212KRSI,"Karlsruhe, Stadtkreis",mit Migrationshintergrund,Insgesamt,115
2021,08212KRSI,"Karlsruhe, Stadtkreis",mit Migrationshintergrund,unter 15 Jahre,19
2021,08215KRSI,"Karlsruhe, Landkreis",Insgesamt,15 bis unter 25 Jahre,45
2021,08215KRSI,"Karlsruhe, Landkreis",Insgesamt,25 bis unter 35 Jahre,57
2021,08215KRSI,"Karlsruhe, Landkreis",Insgesamt,35 bis unter 45 Jahre,52
2021,08215KRSI,"Karlsruhe, Landkreis",Insgesamt,45 bis unter 55 Jahre,72
2021,08215KRSI,"Karlsruhe, Landkreis",Insgesamt,55 bis unter 65 Jahre,62
2021,08215KRSI,"Karlsruhe, Landkreis",Insgesamt,65 Jahre und mehr,96
2021,08215KRSI,"Karlsruhe, Landkreis",Insgesamt,Insgesamt,445
2021,08215KRSI,"Karlsruhe, Landkreis",Insgesamt,unter 15 Jahre,61
2021,08215KRSI,"Karlsruhe, Landkreis",mit Migrationshintergrund,15 bis unter 25 Jahre,18
2021,08215KRSI,"Karlsruhe, Landkreis",mit Migrationshintergrund,25 bis unter 35 Jahre,22
2021,08215KRSI,"Karlsruhe, Landkreis",mit Migrationshintergrund,35 bis unter 45 Jahre,23
2021,08215KRSI,"Karlsruhe, Landkreis",mit Migrationshintergrund,45 bis unter 55 Jahre,26
