year,region_code,region_label,labour_status,migration_status,education_isced,value_thousand
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbslose,Insgesamt,mittel,/
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbslose,Insgesamt,niedrig,/
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbslose,mit Migrationshintergrund,Insgesamt,/
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbslose,mit Migrationshintergrund,hoch,/
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbslose,mit Migrationshintergrund,mittel,/
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbslose,mit Migrationshintergrund,niedrig,/
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbslose,ohne Migrationshintergrund,Insgesamt,/
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbslose,ohne Migrationshintergrund,hoch,/
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbslose,ohne Migrationshintergrund,mittel,/
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbslose,ohne Migrationshintergrund,niedrig,/
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbspersonen,Insgesamt,Insgesamt,284
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbspersonen,Insgesamt,hoch,106
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbspersonen,Insgesamt,mittel,125
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbspersonen,Insgesamt,niedrig,53
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbspersonen,mit Migrationshintergrund,Insgesamt,113
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbspersonen,mit Migrationshintergrund,hoch,28
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbspersonen,mit Migrationshintergrund,mittel,47
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbspersonen,mit Migrationshintergrund,niedrig,38
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbspersonen,ohne Migrationshintergrund,Insgesamt,171
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbspersonen,ohne Migrationshintergrund,hoch,78
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbspersonen,ohne Migrationshintergrund,mittel,78
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbspersonen,ohne Migrationshintergrund,niedrig,16
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbstätige,Insgesamt,Insgesamt,276
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbstätige,Insgesamt,hoch,104
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbstätige,Insgesamt,mittel,122
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbstätige,Insgesamt,niedrig,50
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbstätige,mit Migrationshintergrund,Insgesamt,107
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbstätige,mit Migrationshintergrund,hoch,27
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbstätige,mit Migrationshintergrund,mittel,46
2021,08118KRSI,"Ludwigsburg, Landkreis",Erwerbstätige,mit Migrationshintergrund,niedrig,35
